,LABEL,COMMENT,comclean,cleaned,sen_len1,sen_len2,sen_len3,tokens
60,EP,GoodðŸ‘,GoodðŸ‘,Good,8,4,4,['good']
61,EP,Nice,Nice,Nice,4,4,4,['nice']
62,EP,Nice gorgeous look greva,Nice gorgeous look greva,Nice gorgeous look greva,24,24,24,"['nice', 'gorgeous', 'look', 'greva']"
63,EP,Very nice,Very nice,Very nice,9,9,9,"['very', 'nice']"
69,EP,Hi,Hi,Hi,2,2,2,['hi']
71,EP,jitu jamavat Verry nice nema,jitu jamavat Verry nice nema,jitu jamavat Verry nice nema,28,28,28,"['jitu', 'jamavat', 'verry', 'nice', 'nema']"
72,EP,super jitubhai,super jitubhai,super jitubhai,14,14,14,"['super', 'jitubhai']"
74,EP,Super,Super,Super,5,5,5,['super']
76,EP,99247 21452,99247 21452,99247 21452,11,11,11,"['99247', '21452']"
77,EP,super 9426307877,super 9426307877,super 9426307877,16,16,16,"['super', '9426307877']"
80,EP,Embarrassing number so she said we could do tomorrow,Embarrassing number so she said we could do tomorrow,Embarrassing number so she said we could do tomorrow,52,52,52,"['embarrassing', 'number', 'so', 'she', 'said', 'we', 'could', 'do', 'tomorrow']"
85,EP,super jitu bhai,super jitu bhai,super jitu bhai,15,15,15,"['super', 'jitu', 'bhai']"
86,EP,You beautiful,You beautiful,You beautiful,13,13,13,"['you', 'beautiful']"
87,EP,names,names,names,5,5,5,['names']
88,EP,Good work#desicurrent,Good workdesicurrent,Good workdesicurrent,21,20,20,"['good', 'workdesicurrent']"
90,EP,Amazing comedy..,Amazing comedy,Amazing comedy,16,14,14,"['amazing', 'comedy']"
91,EP,Very nice bhai,Very nice bhai,Very nice bhai,14,14,14,"['very', 'nice', 'bhai']"
92,EP,super comedy,super comedy,super comedy,12,12,12,"['super', 'comedy']"
95,EP,Nice,Nice,Nice,4,4,4,['nice']
96,EP,nice,nice,nice,4,4,4,['nice']
107,EP,Nic video,Nic video,Nic video,9,9,9,"['nic', 'video']"
110,EP,Super warines jitubhai,Super warines jitubhai,Super warines jitubhai,22,22,22,"['super', 'warines', 'jitubhai']"
114,EP,Nice vidio,Nice vidio,Nice vidio,10,10,10,"['nice', 'vidio']"
118,EP,Suppr jitu bhai,Suppr jitu bhai,Suppr jitu bhai,15,15,15,"['suppr', 'jitu', 'bhai']"
120,EP,Nice,Nice,Nice,4,4,4,['nice']
122,EP,1 More Subscriber,1 More Subscriber,1 More Subscriber,17,17,17,"['1', 'more', 'subscriber']"
123,EP,Good,Good,Good,4,4,4,['good']
125,EP,Fantastic,Fantastic,Fantastic,9,9,9,['fantastic']
128,EP,Hi,Hi,Hi,2,2,2,['hi']
129,EP,We need everyday new comedy plz do it,We need everyday new comedy plz do it,We need everyday new comedy plz do it,37,37,37,"['we', 'need', 'everyday', 'new', 'comedy', 'plz', 'do', 'it']"
134,EP,Nice....,Nice,Nice,8,4,4,['nice']
137,EP,Nice video I impress your video bcz your video tone is very natural village language,Nice video I impress your video bcz your video tone is very natural village language,Nice video I impress your video bcz your video tone is very natural village language,84,84,84,"['nice', 'video', 'i', 'impress', 'your', 'video', 'bcz', 'your', 'video', 'tone', 'is', 'very', 'natural', 'village', 'language']"
141,EP,super,super,super,5,5,5,['super']
143,EP,Bov saru,Bov saru,Bov saru,8,8,8,"['bov', 'saru']"
151,EP,Nice 9737068845,Nice 9737068845,Nice 9737068845,15,15,15,"['nice', '9737068845']"
152,EP,Supar comedy,Supar comedy,Supar comedy,12,12,12,"['supar', 'comedy']"
153,EP,Supar jitu,Supar jitu,Supar jitu,10,10,10,"['supar', 'jitu']"
154,EP,All episodes I like 9099832675 Salish.,All episodes I like 9099832675 Salish,All episodes I like 9099832675 Salish,38,37,37,"['all', 'episodes', 'i', 'like', '9099832675', 'salish']"
155,EP,Good jokes 9099832675 from satish.,Good jokes 9099832675 from satish,Good jokes 9099832675 from satish,34,33,33,"['good', 'jokes', '9099832675', 'from', 'satish']"
158,EP,No one jitu,No one jitu,No one jitu,11,11,11,"['no', 'one', 'jitu']"
163,EP,Super ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,Super ðŸ‘ŒðŸ‘ŒðŸ‘ŒðŸ‘Œ,Super ,22,6,6,"['super', '']"
164,EP,Jitu bhai good luck,Jitu bhai good luck,Jitu bhai good luck,19,19,19,"['jitu', 'bhai', 'good', 'luck']"
165,EP,Very good luck,Very good luck,Very good luck,14,14,14,"['very', 'good', 'luck']"
171,EP,Cool,Cool,Cool,4,4,4,['cool']
172,EP,Super,Super,Super,5,5,5,['super']
173,EP,Nice,Nice,Nice,4,4,4,['nice']
177,EP,Verigood episode jitubhai manguben,Verigood episode jitubhai manguben,Verigood episode jitubhai manguben,34,34,34,"['verigood', 'episode', 'jitubhai', 'manguben']"
178,EP,Supar,Supar,Supar,5,5,5,['supar']
179,EP,Wow,Wow,Wow,3,3,3,['wow']
180,EP,Best comedy,Best comedy,Best comedy,11,11,11,"['best', 'comedy']"
183,EP,Nice,Nice,Nice,4,4,4,['nice']
184,EP,Super duper hit,Super duper hit,Super duper hit,15,15,15,"['super', 'duper', 'hit']"
190,EP,Nice video call me 6353386736,Nice video call me 6353386736,Nice video call me 6353386736,29,29,29,"['nice', 'video', 'call', 'me', '6353386736']"
192,EP,Hello diar mam and sir....,Hello diar mam and sir,Hello diar mam and sir,26,22,22,"['hello', 'diar', 'mam', 'and', 'sir']"
199,EP,Nice,Nice,Nice,4,4,4,['nice']
203,EP,Verry good,Verry good,Verry good,10,10,10,"['verry', 'good']"
205,EP,Nice jordar àª°àª¿àª¸àª®àª£à«àª‚,Nice jordar àª°àª¿àª¸àª®àª£à«àª‚,Nice jordar ,33,12,12,"['nice', 'jordar', '']"
206,EP,Happy enjoy family,Happy enjoy family,Happy enjoy family,18,18,18,"['happy', 'enjoy', 'family']"
207,EP,good jitubhai,good jitubhai,good jitubhai,13,13,13,"['good', 'jitubhai']"
209,EP,Vip,Vip,Vip,3,3,3,['vip']
210,EP,Nice,Nice,Nice,4,4,4,['nice']
219,EP,Very nice,Very nice,Very nice,9,9,9,"['very', 'nice']"
220,EP,Support,Support,Support,7,7,7,['support']
222,EP,supar,supar,supar,5,5,5,['supar']
225,EP,Wow nice nice,Wow nice nice,Wow nice nice,13,13,13,"['wow', 'nice', 'nice']"
229,EP,Supar jitu bhai,Supar jitu bhai,Supar jitu bhai,15,15,15,"['supar', 'jitu', 'bhai']"
236,EP,I love you jitu bahi,I love you jitu bahi,I love you jitu bahi,20,20,20,"['i', 'love', 'you', 'jitu', 'bahi']"
237,EP,Super,Super,Super,5,5,5,['super']
238,EP,nais jitu sar,nais jitu sar,nais jitu sar,13,13,13,"['nais', 'jitu', 'sar']"
239,EP,nice,nice,nice,4,4,4,['nice']
240,EP,nice one,nice one,nice one,8,8,8,"['nice', 'one']"
242,EP,Wow nice jitubhai,Wow nice jitubhai,Wow nice jitubhai,17,17,17,"['wow', 'nice', 'jitubhai']"
243,EP,Nice,Nice,Nice,4,4,4,['nice']
244,EP,Super video,Super video,Super video,11,11,11,"['super', 'video']"
247,EP,Nice,Nice,Nice,4,4,4,['nice']
248,EP,Hii,Hii,Hii,3,3,3,['hii']
249,EP,Nice,Nice,Nice,4,4,4,['nice']
250,EP,Super duper,Super duper,Super duper,11,11,11,"['super', 'duper']"
251,EP,Good,Good,Good,4,4,4,['good']
252,EP,Super,Super,Super,5,5,5,['super']
255,EP,good luck Jitu jamavat,good luck Jitu jamavat,good luck Jitu jamavat,22,22,22,"['good', 'luck', 'jitu', 'jamavat']"
262,EP,"Nice performance,, ",Nice performance ,Nice performance ,19,17,17,"['nice', 'performance', '']"
264,EP,ok,ok,ok,2,2,2,['ok']
265,EP,Nice video,Nice video,Nice video,10,10,10,"['nice', 'video']"
266,EP,Nice.,Nice,Nice,5,4,4,['nice']
268,EP,very nice,very nice,very nice,9,9,9,"['very', 'nice']"
270,EP,Full Moj Jitu bro Osm ðŸ‘ŒðŸ‘ŒðŸ‘Œ,Full Moj Jitu bro Osm ðŸ‘ŒðŸ‘ŒðŸ‘Œ,Full Moj Jitu bro Osm ,34,22,22,"['full', 'moj', 'jitu', 'bro', 'osm', '']"
271,EP,Best videos.... Go ahead.,Best videos Go ahead,Best videos Go ahead,25,20,20,"['best', 'videos', 'go', 'ahead']"
273,EP,Nice,Nice,Nice,4,4,4,['nice']
278,EP,Jitubhai supar,Jitubhai supar,Jitubhai supar,14,14,14,"['jitubhai', 'supar']"
279,EP,Everything is okay but video quality is so pour,Everything is okay but video quality is so pour,Everything is okay but video quality is so pour,47,47,47,"['everything', 'is', 'okay', 'but', 'video', 'quality', 'is', 'so', 'pour']"
281,EP,Super,Super,Super,5,5,5,['super']
283,EP,I like u jitu and mangu stories,I like u jitu and mangu stories,I like u jitu and mangu stories,31,31,31,"['i', 'like', 'u', 'jitu', 'and', 'mangu', 'stories']"
287,EP,nice,nice,nice,4,4,4,['nice']
289,EP,V.V.NICE,VVNICE,VVNICE,8,6,6,['vvnice']
294,EP,Nice,Nice,Nice,4,4,4,['nice']
295,EP,Very nice video,Very nice video,Very nice video,15,15,15,"['very', 'nice', 'video']"
296,EP,Please send new video,Please send new video,Please send new video,21,21,21,"['please', 'send', 'new', 'video']"
298,EP,Beautiful,Beautiful,Beautiful,9,9,9,['beautiful']
300,EP,Super,Super,Super,5,5,5,['super']
301,EP,Yogesh online,Yogesh online,Yogesh online,13,13,13,"['yogesh', 'online']"
304,EP,Good,Good,Good,4,4,4,['good']
306,EP,Super,Super,Super,5,5,5,['super']
311,EP,Click to Watch Gujarati Rap Song: https://youtu.be/O7g_hJdkm0I,Click to Watch Gujarati Rap Song httpsyoutubeO7ghJdkm0I,Click to Watch Gujarati Rap Song httpsyoutubeO7ghJdkm0I,62,55,55,"['click', 'to', 'watch', 'gujarati', 'rap', 'song', 'httpsyoutubeo7ghjdkm0i']"
312,EP,Super,Super,Super,5,5,5,['super']
313,EP,Superb Comedy Jitubhai nd team i really appreciate.,Superb Comedy Jitubhai nd team i really appreciate,Superb Comedy Jitubhai nd team i really appreciate,51,50,50,"['superb', 'comedy', 'jitubhai', 'nd', 'team', 'i', 'really', 'appreciate']"
318,EP,super,super,super,5,5,5,['super']
320,EP,i love jitu bhai mangu ben,i love jitu bhai mangu ben,i love jitu bhai mangu ben,26,26,26,"['i', 'love', 'jitu', 'bhai', 'mangu', 'ben']"
321,EP,You are both a kaples,You are both a kaples,You are both a kaples,21,21,21,"['you', 'are', 'both', 'a', 'kaples']"
323,EP,super,super,super,5,5,5,['super']
327,EP,Verry verry nice i m big fen 4 you,Verry verry nice i m big fen 4 you,Verry verry nice i m big fen 4 you,34,34,34,"['verry', 'verry', 'nice', 'i', 'm', 'big', 'fen', '4', 'you']"
329,EP,super,super,super,5,5,5,['super']
330,EP,superb mangu& jeetu,superb mangu jeetu,superb mangu jeetu,19,18,18,"['superb', 'mangu', 'jeetu']"
332,EP,Jitu Bhai Super,Jitu Bhai Super,Jitu Bhai Super,15,15,15,"['jitu', 'bhai', 'super']"
335,EP,Nice,Nice,Nice,4,4,4,['nice']
343,EP,Very good,Very good,Very good,9,9,9,"['very', 'good']"
348,EP,Super,Super,Super,5,5,5,['super']
349,EP,Two things sell in this world and I enjoy the heck out some comedy,Two things sell in this world and I enjoy the heck out some comedy,Two things sell in this world and I enjoy the heck out some comedy,66,66,66,"['two', 'things', 'sell', 'in', 'this', 'world', 'and', 'i', 'enjoy', 'the', 'heck', 'out', 'some', 'comedy']"
350,EP,Nice bhai,Nice bhai,Nice bhai,9,9,9,"['nice', 'bhai']"
351,EP,Nice.,Nice,Nice,5,4,4,['nice']
352,EP,Super Yaar  mangu & jeetu &dk team,Super Yaar  mangu  jeetu dk team,Super Yaar  mangu  jeetu dk team,34,32,32,"['super', 'yaar', 'mangu', 'jeetu', 'dk', 'team']"
355,EP,Good Luck,Good Luck,Good Luck,9,9,9,"['good', 'luck']"
358,EP,Nice,Nice,Nice,4,4,4,['nice']
359,EP,Nice,Nice,Nice,4,4,4,['nice']
360,EP,Hi,Hi,Hi,2,2,2,['hi']
362,EP,VERY GOOD.,VERY GOOD,VERY GOOD,10,9,9,"['very', 'good']"
366,EP,super,super,super,5,5,5,['super']
372,EP,nice video,nice video,nice video,10,10,10,"['nice', 'video']"
377,EP,Hepi magu  Jitu,Hepi magu  Jitu,Hepi magu  Jitu,15,15,15,"['hepi', 'magu', 'jitu']"
379,EP,Nice,Nice,Nice,4,4,4,['nice']
382,EP,supper jitubhai nice video,supper jitubhai nice video,supper jitubhai nice video,26,26,26,"['supper', 'jitubhai', 'nice', 'video']"
386,EP,Super,Super,Super,5,5,5,['super']
388,EP,Nice,Nice,Nice,4,4,4,['nice']
390,EP,Mind blowing,Mind blowing,Mind blowing,12,12,12,"['mind', 'blowing']"
392,EP,Nice video,Nice video,Nice video,10,10,10,"['nice', 'video']"
395,EP,nice,nice,nice,4,4,4,['nice']
398,EP,Super,Super,Super,5,5,5,['super']
403,EP,"Very good comedy,acting & script is excellent, Mangu is superb, keep it up....UMESH SHAH",Very good comedyacting  script is excellent Mangu is superb keep it upUMESH SHAH,Very good comedyacting  script is excellent Mangu is superb keep it upUMESH SHAH,88,80,80,"['very', 'good', 'comedyacting', 'script', 'is', 'excellent', 'mangu', 'is', 'superb', 'keep', 'it', 'upumesh', 'shah']"
406,EP,Hi,Hi,Hi,2,2,2,['hi']
407,EP,Nice,Nice,Nice,4,4,4,['nice']
409,EP,bettery,bettery,bettery,7,7,7,['bettery']
410,EP,very nice,very nice,very nice,9,9,9,"['very', 'nice']"
415,EP,Super,Super,Super,5,5,5,['super']
416,EP,very nice,very nice,very nice,9,9,9,"['very', 'nice']"
420,EP,Solid video jitu uncle and Mangu bhabhi,Solid video jitu uncle and Mangu bhabhi,Solid video jitu uncle and Mangu bhabhi,39,39,39,"['solid', 'video', 'jitu', 'uncle', 'and', 'mangu', 'bhabhi']"
422,EP,Nice video,Nice video,Nice video,10,10,10,"['nice', 'video']"
427,EP,nice sire,nice sire,nice sire,9,9,9,"['nice', 'sire']"
429,EP,Nice,Nice,Nice,4,4,4,['nice']
430,EP,Nice comedi jitu Bhai,Nice comedi jitu Bhai,Nice comedi jitu Bhai,21,21,21,"['nice', 'comedi', 'jitu', 'bhai']"
431,EP,Nice Comedy,Nice Comedy,Nice Comedy,11,11,11,"['nice', 'comedy']"
438,EP, well come your home and city dear...., well come your home and city dear, well come your home and city dear,38,34,34,"['', 'well', 'come', 'your', 'home', 'and', 'city', 'dear']"
445,EP,Hi,Hi,Hi,2,2,2,['hi']
447,EP,Good video,Good video,Good video,10,10,10,"['good', 'video']"
448,EP,check out mine content:-,check out mine content,check out mine content,24,22,22,"['check', 'out', 'mine', 'content']"
450,EP,jitu sir i am a video editor.i want to be work with you.9979764089,jitu sir i am a video editori want to be work with you9979764089,jitu sir i am a video editori want to be work with you9979764089,66,64,64,"['jitu', 'sir', 'i', 'am', 'a', 'video', 'editori', 'want', 'to', 'be', 'work', 'with', 'you9979764089']"
451,EP,Naman games  channel is you tube go fast and SUBSCRIBE  Now ples .    ,Naman games  channel is you tube go fast and SUBSCRIBE  Now ples     ,Naman games  channel is you tube go fast and SUBSCRIBE  Now ples     ,70,69,69,"['naman', 'games', 'channel', 'is', 'you', 'tube', 'go', 'fast', 'and', 'subscribe', 'now', 'ples', '']"
466,EP,Nice,Nice,Nice,4,4,4,['nice']
467,EP,Nice,Nice,Nice,4,4,4,['nice']
470,EP,Beautiful video jitu bhai and mangu ben,Beautiful video jitu bhai and mangu ben,Beautiful video jitu bhai and mangu ben,39,39,39,"['beautiful', 'video', 'jitu', 'bhai', 'and', 'mangu', 'ben']"
472,EP,Good,Good,Good,4,4,4,['good']
474,EP,Superb,Superb,Superb,6,6,6,['superb']
475,EP,OK,OK,OK,2,2,2,['ok']
477,EP,Big fan of both ðŸ™ŒðŸ‘ðŸ‘ðŸ‘,Big fan of both ðŸ™ŒðŸ‘ðŸ‘ðŸ‘,Big fan of both ,32,16,16,"['big', 'fan', 'of', 'both', '']"
481,EP,Super jitu bhai...nice one,Super jitu bhainice one,Super jitu bhainice one,26,23,23,"['super', 'jitu', 'bhainice', 'one']"
486,EP,supeer,supeer,supeer,6,6,6,['supeer']
490,EP,Supar hit,Supar hit,Supar hit,9,9,9,"['supar', 'hit']"
492,EP,super Jitu bhai,super Jitu bhai,super Jitu bhai,15,15,15,"['super', 'jitu', 'bhai']"
494,EP,B nice,B nice,B nice,6,6,6,"['b', 'nice']"
495,EP,Super,Super,Super,5,5,5,['super']
496,EP,Good,Good,Good,4,4,4,['good']
501,EP,very nice video jitubhai mango band,very nice video jitubhai mango band,very nice video jitubhai mango band,35,35,35,"['very', 'nice', 'video', 'jitubhai', 'mango', 'band']"
502,EP,nice,nice,nice,4,4,4,['nice']
505,EP,Nice,Nice,Nice,4,4,4,['nice']
506,EP,Nice viedeo   #gujjucomedydakha,Nice viedeo   gujjucomedydakha,Nice viedeo   gujjucomedydakha,31,30,30,"['nice', 'viedeo', 'gujjucomedydakha']"
508,EP,Nice video àªœà«€àª¤à«àª­àª¾àªˆ,Nice video àªœà«€àª¤à«àª­àª¾àªˆ,Nice video ,32,11,11,"['nice', 'video', '']"
509,EP,Jitubhai don't worry !!,Jitubhai dont worry ,Jitubhai dont worry ,23,20,20,"['jitubhai', 'dont', 'worry', '']"
516,EP,And just earn money !!,And just earn money ,And just earn money ,22,20,20,"['and', 'just', 'earn', 'money', '']"
517,EP,And enjoy your life  !!,And enjoy your life  ,And enjoy your life  ,23,21,21,"['and', 'enjoy', 'your', 'life', '']"
518,EP,And believe in God !!!!,And believe in God ,And believe in God ,23,19,19,"['and', 'believe', 'in', 'god', '']"
521,EP,Nice video,Nice video,Nice video,10,10,10,"['nice', 'video']"
522,EP,Niceee,Niceee,Niceee,6,6,6,['niceee']
524,EP,nice,nice,nice,4,4,4,['nice']
525,EP,9427498243 call me,9427498243 call me,9427498243 call me,18,18,18,"['9427498243', 'call', 'me']"
528,EP,nice jitu bhai mangu ben. .....ssssssupar,nice jitu bhai mangu ben ssssssupar,nice jitu bhai mangu ben ssssssupar,41,35,35,"['nice', 'jitu', 'bhai', 'mangu', 'ben', 'ssssssupar']"
529,EP,Super jitu bhai and mangu ben ðŸ‘ŒðŸ‘ŒðŸ‘Œ,Super jitu bhai and mangu ben ðŸ‘ŒðŸ‘ŒðŸ‘Œ,Super jitu bhai and mangu ben ,42,30,30,"['super', 'jitu', 'bhai', 'and', 'mangu', 'ben', '']"
530,EP,Wow,Wow,Wow,3,3,3,['wow']
537,EP,Jitu ane Mangu super dooper,Jitu ane Mangu super dooper,Jitu ane Mangu super dooper,27,27,27,"['jitu', 'ane', 'mangu', 'super', 'dooper']"
538,EP,nice,nice,nice,4,4,4,['nice']
542,EP,"Very nice Jitubhai,manguben.....",Very nice Jitubhaimanguben,Very nice Jitubhaimanguben,32,26,26,"['very', 'nice', 'jitubhaimanguben']"
543,EP,Letest,Letest,Letest,6,6,6,['letest']
544,EP,Super,Super,Super,5,5,5,['super']
548,EP,Supper Jodi,Supper Jodi,Supper Jodi,11,11,11,"['supper', 'jodi']"
568,EP,Plz friend channel subscribe plz friend,Plz friend channel subscribe plz friend,Plz friend channel subscribe plz friend,39,39,39,"['plz', 'friend', 'channel', 'subscribe', 'plz', 'friend']"
574,EP,So comedy ðŸ¤£ðŸ¤£,So comedy ðŸ¤£ðŸ¤£,So comedy ,18,10,10,"['so', 'comedy', '']"
579,EP,superb video,superb video,superb video,12,12,12,"['superb', 'video']"
589,EP,100 salute to both of u..!!,100 salute to both of u,100 salute to both of u,27,23,23,"['100', 'salute', 'to', 'both', 'of', 'u']"
590,EP,Hello Jitubhai bhai,Hello Jitubhai bhai,Hello Jitubhai bhai,19,19,19,"['hello', 'jitubhai', 'bhai']"
598,EP,Good luck jitu bhai,Good luck jitu bhai,Good luck jitu bhai,19,19,19,"['good', 'luck', 'jitu', 'bhai']"
599,EP,Nice comedy video jitubhai & mangu,Nice comedy video jitubhai  mangu,Nice comedy video jitubhai  mangu,34,33,33,"['nice', 'comedy', 'video', 'jitubhai', 'mangu']"
600,EP,Super,Super,Super,5,5,5,['super']
601,EP,good,good,good,4,4,4,['good']
603,EP,Nice video,Nice video,Nice video,10,10,10,"['nice', 'video']"
609,EP,Very nice,Very nice,Very nice,9,9,9,"['very', 'nice']"
612,EP,Superb comady jitu bhai ani mangu ji,Superb comady jitu bhai ani mangu ji,Superb comady jitu bhai ani mangu ji,36,36,36,"['superb', 'comady', 'jitu', 'bhai', 'ani', 'mangu', 'ji']"
615,EP,Super,Super,Super,5,5,5,['super']
616,EP,Super hit bhai,Super hit bhai,Super hit bhai,14,14,14,"['super', 'hit', 'bhai']"
624,EP,Super active,Super active,Super active,12,12,12,"['super', 'active']"
627,EP,Super hit vidio,Super hit vidio,Super hit vidio,15,15,15,"['super', 'hit', 'vidio']"
628,EP,Nice comedy,Nice comedy,Nice comedy,11,11,11,"['nice', 'comedy']"
629,EP,Very good video maguben,Very good video maguben,Very good video maguben,23,23,23,"['very', 'good', 'video', 'maguben']"
631,EP,Suapr jitu bhai mangu sis,Suapr jitu bhai mangu sis,Suapr jitu bhai mangu sis,25,25,25,"['suapr', 'jitu', 'bhai', 'mangu', 'sis']"
635,EP,Very Nice Jokes,Very Nice Jokes,Very Nice Jokes,15,15,15,"['very', 'nice', 'jokes']"
639,EP,Super nice ðŸ˜ŠðŸ‘Œ Karan zala,Super nice ðŸ˜ŠðŸ‘Œ Karan zala,Super nice  Karan zala,30,22,22,"['super', 'nice', 'karan', 'zala']"
646,EP,Jitubhai Best Comedy bhai,Jitubhai Best Comedy bhai,Jitubhai Best Comedy bhai,25,25,25,"['jitubhai', 'best', 'comedy', 'bhai']"
651,EP,Nice,Nice,Nice,4,4,4,['nice']
652,EP,143 mi like dear super,143 mi like dear super,143 mi like dear super,22,22,22,"['143', 'mi', 'like', 'dear', 'super']"
654,EP,Super jokes jitubhai,Super jokes jitubhai,Super jokes jitubhai,20,20,20,"['super', 'jokes', 'jitubhai']"
662,EP,nice,nice,nice,4,4,4,['nice']
663,EP,Mangu saree like it,Mangu saree like it,Mangu saree like it,19,19,19,"['mangu', 'saree', 'like', 'it']"
664,EP,Nicevideobhai,Nicevideobhai,Nicevideobhai,13,13,13,['nicevideobhai']
665,EP,Super,Super,Super,5,5,5,['super']
667,EP,Lovely,Lovely,Lovely,6,6,6,['lovely']
668,EP,Amazing,Amazing,Amazing,7,7,7,['amazing']
670,EP,Bountiful video jitubhai,Bountiful video jitubhai,Bountiful video jitubhai,24,24,24,"['bountiful', 'video', 'jitubhai']"
671,EP,My channel subscribehttps://www.youtube.com/watch?v=FI7-UDp7HwY&app=desktop,My channel subscribehttpswwwyoutubecomwatchvFI7UDp7HwYappdesktop,My channel subscribehttpswwwyoutubecomwatchvFI7UDp7HwYappdesktop,75,64,64,"['my', 'channel', 'subscribehttpswwwyoutubecomwatchvfi7udp7hwyappdesktop']"
672,EP,Super video Bhai,Super video Bhai,Super video Bhai,16,16,16,"['super', 'video', 'bhai']"
673,EP,Hii,Hii,Hii,3,3,3,['hii']
677,EP,Super soft,Super soft,Super soft,10,10,10,"['super', 'soft']"
679,EP,First like,First like,First like,10,10,10,"['first', 'like']"
680,EP,Nice to,Nice to,Nice to,7,7,7,"['nice', 'to']"
682,EP,Nice,Nice,Nice,4,4,4,['nice']
683,EP,Nice video sir,Nice video sir,Nice video sir,14,14,14,"['nice', 'video', 'sir']"
687,EP,any one know please tell me,any one know please tell me,any one know please tell me,27,27,27,"['any', 'one', 'know', 'please', 'tell', 'me']"
689,EP,who is the father of gujrat history ?? ,who is the father of gujrat history  ,who is the father of gujrat history  ,39,37,37,"['who', 'is', 'the', 'father', 'of', 'gujrat', 'history', '']"
691,EP,please riplay me please my Gmail Chauhanaanirudhdh11@ gmali.com,please riplay me please my Gmail Chauhanaanirudhdh11 gmalicom,please riplay me please my Gmail Chauhanaanirudhdh11 gmalicom,63,61,61,"['please', 'riplay', 'me', 'please', 'my', 'gmail', 'chauhanaanirudhdh11', 'gmalicom']"
692,EP,Nice video,Nice video,Nice video,10,10,10,"['nice', 'video']"
694,EP,Thank u so much sir ..,Thank u so much sir ,Thank u so much sir ,22,20,20,"['thank', 'u', 'so', 'much', 'sir', '']"
695,EP,what a lecture sir ......super,what a lecture sir super,what a lecture sir super,30,24,24,"['what', 'a', 'lecture', 'sir', 'super']"
704,EP,Superb video sir,Superb video sir,Superb video sir,16,16,16,"['superb', 'video', 'sir']"
706,EP,Best lecture Gujarat history,Best lecture Gujarat history,Best lecture Gujarat history,28,28,28,"['best', 'lecture', 'gujarat', 'history']"
708,EP,So nice sir,So nice sir,So nice sir,11,11,11,"['so', 'nice', 'sir']"
713,EP,v  good,v  good,v  good,7,7,7,"['v', 'good']"
716,EP,good sir,good sir,good sir,8,8,8,"['good', 'sir']"
718,EP,THANK YOU SIR,THANK YOU SIR,THANK YOU SIR,13,13,13,"['thank', 'you', 'sir']"
720,EP,Super lecture TX sir,Super lecture TX sir,Super lecture TX sir,20,20,20,"['super', 'lecture', 'tx', 'sir']"
725,EP,Good job sir,Good job sir,Good job sir,12,12,12,"['good', 'job', 'sir']"
